address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"1144 Isabella Ave, Coronado, CA 92118",Coronado,CA,92118,32.68463,-117.18392,15927400,7,8,7446,Single Family,14254000,45667,https://photos.zillowstatic.com/fp/a6841c2aca51adec59e748d8c1570828-p_e.jpg
7404 Hillside Dr,La Jolla,CA,92037,32.843422,-117.25566,15900000.0,5.0,5.0,4863.0,Single Family,15902600.0,30464.0,https://photos.zillowstatic.com/fp/815aad0f1da99a50bd369267d58e92e5-p_e.jpg
"4537 La Orilla, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.01057,-117.234634,15880000,12,7,9692,Single Family,,36750,https://photos.zillowstatic.com/fp/efa806ab5c8980ba70d9c2c0eaa61387-p_e.jpg
"7505 Hillside Dr, La Jolla, CA 92037",La Jolla,CA,92037,32.844913,-117.2568,15800000,6,5,10285,Single Family,17188300,54966,https://photos.zillowstatic.com/fp/a72b48a7672d4cc1a100f48e986618bd-p_e.jpg
"5940 Ladys Secret Dr, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,32.98292,-117.193825,15500000,12,7,10353,Single Family,16679900,53114,https://photos.zillowstatic.com/fp/a944361d2a98d6b07d935781bb693a29-p_e.jpg
18220 Via De Fortuna,Rancho Santa Fe,CA,92091,33.043034,-117.2106,13995000.0,8.0,7.0,10500.0,Single Family,,4140.0,https://photos.zillowstatic.com/fp/00d512b6afab84d4564046d37f9c5661-p_e.jpg
"2055 Seaview Ave, Del Mar, CA 92014",Del Mar,CA,92014,32.967148,-117.263435,13995000,5,4,5525,Single Family,15157100,49269,https://photos.zillowstatic.com/fp/498581de9148617b456648742ec5891a-p_e.jpg
"11075 W Sunset Blvd, Los Angeles, CA 90049",Los Angeles,CA,90049,34.07468,-118.45798,13995000,7,5,8572,Single Family,,48922,https://photos.zillowstatic.com/fp/628e003a219e3cae8663ce25c8588506-p_e.jpg
"1021 Muirlands Dr, La Jolla, CA 92037",La Jolla,CA,92037,32.82654,-117.26765,13500000,10,8,10168,Single Family,14095500,44922,https://photos.zillowstatic.com/fp/6ffe585c3724dd022461bd23af9e0e43-p_e.jpg
"1401 Bel Air Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.09601,-118.44576,12990000,9,7,7509,Single Family,11929700,49825,https://photos.zillowstatic.com/fp/1ef3ff9c0881fe984c62e60d314321e3-p_e.jpg
7451 Hillside Dr,La Jolla,CA,92037,32.844547,-117.25563,12900000.0,6.0,6.0,9022.0,Single Family,12584400.0,37731.0,https://photos.zillowstatic.com/fp/b5ede4f062749d69004ca0ce696aaa25-p_e.jpg
2900 Nichols St,San Diego,CA,92106,32.71144,-117.23719,12875000.0,6.0,5.0,4951.0,Single Family,11709400.0,40027.0,https://photos.zillowstatic.com/fp/739febb6e3ac86751d50d0802faeb298-p_e.jpg
"516 Stratford Ct, Del Mar, CA 92014",Del Mar,CA,92014,32.948753,-117.263794,12500000,7,4,6532,Single Family,14959200,48630,https://photos.zillowstatic.com/fp/b6a26184f4b3a7f5bc7f47b9689bcd7a-p_e.jpg
"7447 Hillside Dr, La Jolla, CA 92037",La Jolla,CA,92037,32.844482,-117.2553,12000000,6,5,8175,Single Family,12454600,39596,https://photos.zillowstatic.com/fp/7a1d0973f12c3703991648465835793a-p_e.jpg
"16701 Camino Sierra Del Sur, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,32.99601,-117.18184,11588000,13,10,12881,Single Family,12764300,40747,https://photos.zillowstatic.com/fp/e29169960e2af681fa8225c767cd2f04-p_e.jpg
"2188 Heather Ln, Del Mar, CA 92014",Del Mar,CA,92014,32.969227,-117.262856,11500000,7,4,6115,Single Family,12888000,41196,https://photos.zillowstatic.com/fp/29407a492db38d54ac265a9707638c08-p_e.jpg
"18104 Via Roswitha, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.045517,-117.201416,11500000,8,8,15105,Single Family,12424100,39728,https://photos.zillowstatic.com/fp/9499cac6096885b65ab4fbe59b38f1cd-p_e.jpg
